file,source,title,creator,creator_url,license,license_url,landing_url,url,query,width,height
537f3e087572.jpg,wikimedia-commons,File:LIKE bottles from the Soda Museum.jpg,Sgerbic,,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:LIKE_bottles_from_the_Soda_Museum.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/72/LIKE_bottles_from_the_Soda_Museum.jpg/1280px-LIKE_bottles_from_the_Soda_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,960
bb10fed212d5.jpg,wikimedia-commons,"File:Lemon-soda bottles, Kempty Falls, Mussoorie, Uttarakhand.jpg","Nagesh Kamath from Bangalore, India",,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"https://commons.wikimedia.org/wiki/File:Lemon-soda_bottles,_Kempty_Falls,_Mussoorie,_Uttarakhand.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c9/Lemon-soda_bottles%2C_Kempty_Falls%2C_Mussoorie%2C_Uttarakhand.jpg/1280px-Lemon-soda_bottles%2C_Kempty_Falls%2C_Mussoorie%2C_Uttarakhand.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,852
ea34b6a726ab.jpg,wikimedia-commons,File:POP SHOPPE BOTTLES FULL WITH ORIGINAL SODA 1970's (3371739124).jpg,"Jerry ""Woody"" from Edmonton, Canada",,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:POP_SHOPPE_BOTTLES_FULL_WITH_ORIGINAL_SODA_1970%27s_(3371739124).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/15/POP_SHOPPE_BOTTLES_FULL_WITH_ORIGINAL_SODA_1970%27s_%283371739124%29.jpg/1280px-POP_SHOPPE_BOTTLES_FULL_WITH_ORIGINAL_SODA_1970%27s_%283371739124%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,1435
ebbe1801dbae.jpg,wikimedia-commons,File:Seltzer bottle.svg,Arvin61r58,,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://commons.wikimedia.org/wiki/File:Seltzer_bottle.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/Seltzer_bottle.svg/1280px-Seltzer_bottle.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,3765
c0400c27521f.jpg,wikimedia-commons,File:SitH - siphon bottle.jpg,Joe Mabel,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:SitH_-_siphon_bottle.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/55/SitH_-_siphon_bottle.jpg/1280px-SitH_-_siphon_bottle.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,1927
b26f711e7dc6.jpg,wikimedia-commons,File:Soda Gembira ingredients 1.jpg,Crisco 1492,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Soda_Gembira_ingredients_1.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fd/Soda_Gembira_ingredients_1.jpg/1280px-Soda_Gembira_ingredients_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,1798
e9afdb6963a7.jpg,wikimedia-commons,File:Soda Gembira ingredients 2.jpg,Crisco 1492,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Soda_Gembira_ingredients_2.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c5/Soda_Gembira_ingredients_2.jpg/1280px-Soda_Gembira_ingredients_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,1693
1d0c6b01389a.jpg,wikimedia-commons,"File:Soda Syphon bottle in Veletržní palác, Prague.JPG",Jiří Sedláček,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Soda_Syphon_bottle_in_Veletr%C5%BEn%C3%AD_pal%C3%A1c,_Prague.JPG",https://thumb.wikimedia.org/wikipedia/commons/thumb/6/64/Soda_Syphon_bottle_in_Veletr%C5%BEn%C3%AD_pal%C3%A1c%2C_Prague.JPG/1280px-Soda_Syphon_bottle_in_Veletr%C5%BEn%C3%AD_pal%C3%A1c%2C_Prague.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,1922
901c93ff2434.jpg,wikimedia-commons,File:Soda bottle.jpg,Parvathisri,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Soda_bottle.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3e/Soda_bottle.jpg/1280px-Soda_bottle.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,962
1711c53c4276.jpg,wikimedia-commons,File:Soda bottle 3.jpg,Parvathisri,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Soda_bottle_3.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6d/Soda_bottle_3.jpg/1280px-Soda_bottle_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,962
